customer_id,name,state,city,total_orders,lifetime_value,avg_order_value,first_order,last_order,segment
C00683,Damini Srinivas,Delhi,Visakhapatnam,5,598444.21,119688.84,2022-07-05,2024-05-13,Platinum
C00034,Sneha Gupta,Gujarat,Jabalpur,6,591907.5,98651.25,2023-04-28,2024-09-20,Platinum
C00189,Sanya Bala,Pune,Motihari,3,591476.45,197158.82,2022-05-18,2023-09-18,Platinum
C00141,Rayaan Barad,Haryana,Raurkela Industrial Township,6,590792.47,98465.41,2022-07-11,2024-08-15,Platinum
C00922,Ranbir Iyer,Telangana,Sambalpur,6,590653.64,98442.27,2022-04-13,2024-07-05,Platinum
C00963,Kritika Agate,Telangana,Shimla,6,587130.09,97855.01,2022-05-23,2024-06-22,Platinum
C01293,Rehaan Handa,Tamil Nadu,Aurangabad,8,582480.2,72810.02,2022-01-11,2024-12-24,Platinum
C01533,Upadhriti Gera,Gujarat,Burhanpur,8,581098.45,72637.31,2022-07-28,2024-05-16,Platinum
C01335,Triya Bhavsar,Rajasthan,Jhansi,6,580707.03,96784.51,2022-03-31,2024-11-17,Platinum
C01113,Zayyan Dey,Telangana,Pudukkottai,5,576594.15,115318.83,2022-02-08,2024-10-02,Platinum
C01243,Hemang Kadakia,Rajasthan,Bhilwara,5,572774.13,114554.83,2022-04-21,2024-06-09,Platinum
C01825,Amrita Garde,Delhi,Belgaum,5,571654.37,114330.87,2023-01-11,2024-01-31,Platinum
C01103,Libni Sanghvi,West Bengal,Bhiwandi,4,570132.36,142533.09,2022-10-19,2024-12-08,Platinum
C00180,Qasim Behl,Pune,Ulhasnagar,5,566631.09,113326.22,2022-02-27,2024-08-19,Platinum
C01744,Arya Dutt,Uttar Pradesh,Ghaziabad,4,566316.04,141579.01,2022-01-15,2024-10-27,Platinum
C00459,Sanya Doshi,Karnataka,Suryapet,3,565912.8,188637.6,2022-12-05,2024-04-10,Platinum
C01525,Jason Gokhale,Pune,Noida,5,565282.24,113056.45,2022-11-08,2024-12-12,Platinum
C01956,Anvi Khosla,Rajasthan,Madhyamgram,6,562955.68,93825.95,2022-07-07,2024-05-12,Platinum
C00109,Mugdha Krishna,Bihar,Maheshtala,5,562085.65,112417.13,2022-11-01,2024-11-30,Platinum
C01594,Radha Narayanan,Gujarat,Bathinda,5,560714.19,112142.84,2022-12-20,2024-12-10,Platinum
C01310,Shivansh Kade,Karnataka,Bongaigaon,4,552779.81,138194.95,2022-02-12,2024-03-30,Platinum
C01072,Vasatika Narain,Pune,Bhimavaram,4,551823.33,137955.83,2022-03-29,2024-12-20,Platinum
C01657,Aayush Gole,Karnataka,Katni,4,550688.85,137672.21,2022-02-14,2024-11-04,Platinum
C00772,Vamakshi Shenoy,Tamil Nadu,Panvel,7,548102.18,78300.31,2022-03-26,2023-12-28,Platinum
C01320,Yagnesh Barad,Delhi,Katihar,3,546917.09,182305.7,2022-11-16,2024-10-27,Platinum
C01420,Upadhriti Sule,Bihar,Pali,5,545611.26,109122.25,2022-10-28,2024-11-22,Platinum
C01468,Falguni Bhakta,Pune,Ulhasnagar,6,544871.8,90811.97,2023-07-16,2024-12-13,Platinum
C00171,Kamya Biswas,Karnataka,Nagpur,8,537136.75,67142.09,2022-10-10,2024-03-03,Platinum
C00455,Siya Cheema,Maharashtra,Katihar,5,535783.48,107156.7,2022-03-21,2024-08-02,Platinum
C00192,Ekaja Sehgal,Madhya Pradesh,New Delhi,5,535600.06,107120.01,2022-07-28,2024-11-12,Platinum
C01397,Mugdha Pall,Odisha,Danapur,4,533642.51,133410.63,2022-04-08,2024-04-22,Platinum
C01196,Harrison Sharma,Rajasthan,Rohtak,6,532851.98,88808.66,2022-08-30,2024-12-13,Platinum
C00754,Imaran Behl,Kerala,Orai,2,532294.09,266147.05,2022-02-26,2023-01-26,Platinum
C00282,Yashawini Das,Delhi,Sonipat,4,530707.69,132676.92,2023-02-13,2024-10-13,Platinum
C00646,Umang Kalla,Pune,Hazaribagh,4,529172.87,132293.22,2022-04-19,2024-02-28,Platinum
C00662,Reva Dugal,Karnataka,Parbhani,4,528503.56,132125.89,2022-03-22,2024-12-07,Platinum
C01837,Ishita Virk,Tamil Nadu,Danapur,4,525211.6,131302.9,2022-02-17,2024-12-10,Platinum
C00105,William Dass,Bihar,Kavali,4,524028.68,131007.17,2023-03-04,2024-11-21,Platinum
C01459,Qarin Bawa,Kerala,Fatehpur,3,524026.6,174675.53,2022-06-06,2024-04-21,Platinum
C01023,Aryan Mangal,Kerala,Uluberia,4,523848.13,130962.03,2022-05-18,2023-10-25,Platinum
C00773,Avi Trivedi,Telangana,Purnia,3,520737.09,173579.03,2022-06-25,2023-08-17,Platinum
C00221,Aarnav Varghese,Gujarat,Karnal,6,520045.63,86674.27,2022-08-16,2024-11-01,Platinum
C01159,Banjeet Yohannan,Gujarat,Guntur,4,516339.6,129084.9,2022-01-18,2023-09-10,Platinum
C00742,Saumya Dalal,Tamil Nadu,Sirsa,5,515377.93,103075.59,2023-05-05,2024-10-23,Platinum
C00225,Girindra Krishnamurthy,Kerala,Bathinda,4,515162.95,128790.74,2023-12-08,2024-09-03,Platinum
C01050,Gunbir Lata,Delhi,Burhanpur,4,514162.97,128540.74,2022-04-02,2024-05-26,Platinum
C01188,Chakradev Buch,West Bengal,Agra,4,512111.71,128027.93,2023-02-14,2024-01-02,Platinum
C01347,Turvi Borde,Uttar Pradesh,Malegaon,6,511331.26,85221.88,2022-01-06,2024-05-15,Platinum
C01970,Yadavi Agrawal,Madhya Pradesh,Maheshtala,5,509430.36,101886.07,2022-06-28,2024-01-04,Platinum
C01551,Zayan Venkataraman,Tamil Nadu,Malegaon,4,509188.69,127297.17,2022-08-05,2024-12-06,Platinum
C01007,Watika Sehgal,Maharashtra,Burhanpur,4,507165.21,126791.3,2022-01-10,2024-08-13,Platinum
C00100,Kashvi Chadha,Kerala,Guna,4,505633.41,126408.35,2022-03-26,2022-09-29,Platinum
C01555,Balveer Kunda,Gujarat,New Delhi,6,504450.05,84075.01,2022-06-07,2024-09-25,Platinum
C00684,Darpan Hayer,Madhya Pradesh,Nadiad,2,503786.93,251893.46,2022-01-23,2024-05-30,Platinum
C01570,Gavin Dixit,West Bengal,Saharsa,6,503382.77,83897.13,2022-07-13,2024-12-19,Platinum
C00008,Advay Sengupta,Telangana,Dharmavaram,4,501644.44,125411.11,2022-02-01,2024-09-08,Platinum
C00958,Dalbir Varughese,Maharashtra,Dhanbad,3,501533.76,167177.92,2022-04-09,2024-03-12,Platinum
C01174,Samarth Khanna,Karnataka,Mathura,3,501096.08,167032.03,2022-06-01,2023-01-06,Platinum
C00725,Jeevika Zachariah,Rajasthan,Bhimavaram,7,501063.41,71580.49,2022-01-12,2024-07-24,Platinum
C01754,Gunbir Lall,Tamil Nadu,Jabalpur,6,501019.23,83503.21,2022-06-02,2024-03-09,Platinum
C00256,Veer Hari,Kerala,Kavali,5,500541.03,100108.21,2022-06-18,2024-12-12,Platinum
C01521,Ekbal Kaur,Maharashtra,Jamnagar,2,500187.76,250093.88,2023-07-25,2024-04-09,Platinum
C01129,Nidhi Thaker,Maharashtra,Ahmedabad,4,499558.35,124889.59,2023-04-19,2024-03-24,Gold
C00886,Bhanumati Joshi,Tamil Nadu,Medininagar,4,499156.53,124789.13,2022-05-09,2024-04-11,Gold
C01051,Harsh Patil,Bihar,Karimnagar,8,498868.46,62358.56,2022-05-09,2024-11-15,Gold
C00974,Gaurika Lad,West Bengal,Gandhidham,5,497535.26,99507.05,2022-03-21,2024-10-26,Gold
C00911,Prisha Munshi,Uttar Pradesh,Sirsa,3,491256.09,163752.03,2022-05-18,2023-01-05,Gold
C01217,Yachana Madan,Odisha,Hindupur,4,490821.73,122705.43,2023-01-06,2024-07-27,Gold
C01063,Samar Kibe,Kerala,South Dumdum,3,489346.66,163115.55,2023-04-17,2024-05-02,Gold
C01907,Bimala Mann,Pune,Sangli-Miraj & Kupwad,3,488725.53,162908.51,2023-09-20,2024-10-23,Gold
C01690,Diya Bajaj,Rajasthan,Moradabad,4,484013.2,121003.3,2022-09-14,2024-09-23,Gold
C00674,Jeevika Grover,Uttar Pradesh,Kochi,2,481961.09,240980.55,2022-06-10,2024-06-30,Gold
C00019,Hemang Sem,Uttar Pradesh,Solapur,4,481878.3,120469.57,2023-12-12,2024-10-06,Gold
C00299,Dakshesh Walla,Haryana,Rajkot,4,481573.56,120393.39,2023-05-31,2024-12-22,Gold
C00732,Nimrat Raghavan,Rajasthan,Kollam,3,481290.7,160430.23,2023-06-07,2024-02-08,Gold
C01604,Om Sha,Rajasthan,Thrissur,5,480769.3,96153.86,2022-03-11,2024-06-21,Gold
C00720,Idika Parmar,Maharashtra,Bhimavaram,3,480354.79,160118.26,2022-05-01,2024-04-29,Gold
C01002,Bhanumati Mitter,Karnataka,Bhiwani,6,479988.36,79998.06,2022-04-02,2024-07-14,Gold
C01149,Udyati Khalsa,Maharashtra,Kakinada,6,477795.76,79632.63,2022-01-07,2024-07-26,Gold
C01204,Avi Chad,Tamil Nadu,Aurangabad,6,477658.65,79609.78,2022-06-06,2024-01-11,Gold
C01232,Patrick Mannan,Haryana,Howrah,3,477192.9,159064.3,2022-01-07,2024-08-21,Gold
C01333,Zayan Arya,Uttar Pradesh,Jorhat,4,477166.85,119291.71,2022-03-29,2024-03-01,Gold
C01427,Jagrati Goel,Maharashtra,Shivpuri,4,476333.85,119083.46,2022-05-13,2023-11-09,Gold
C01167,Balhaar Arora,Madhya Pradesh,Jhansi,7,476194.59,68027.8,2022-05-21,2024-03-07,Gold
C01306,Amol Samra,Odisha,Ludhiana,4,475956.45,118989.11,2023-04-13,2024-11-07,Gold
C00308,Jai Padmanabhan,Delhi,Nangloi Jat,5,474316.07,94863.21,2022-06-10,2024-11-15,Gold
C01620,Teerth Palla,Bihar,Aurangabad,5,473061.74,94612.35,2022-01-05,2024-12-21,Gold
C01021,Luke Ratti,Haryana,Surat,4,471350.31,117837.58,2022-04-03,2024-11-20,Gold
C00482,Aachal Tak,Rajasthan,Aurangabad,4,470521.0,117630.25,2022-01-04,2024-06-29,Gold
C01219,Inaya Goyal,Uttar Pradesh,Ballia,5,470239.24,94047.85,2022-06-10,2024-03-22,Gold
C01954,Jason Chaudhary,Uttar Pradesh,Mau,2,469930.58,234965.29,2022-03-12,2024-10-02,Gold
C00397,David Goswami,West Bengal,Shimoga,7,468266.42,66895.2,2022-08-03,2024-10-13,Gold
C00218,Faris Bera,Bihar,Bhilwara,4,467923.24,116980.81,2022-01-24,2024-10-13,Gold
C01230,Ekanta Bora,Haryana,Bijapur,6,464644.14,77440.69,2022-01-18,2024-04-25,Gold
C00135,Raghav Pandey,Uttar Pradesh,Jaipur,5,463269.92,92653.98,2022-06-09,2024-02-17,Gold
C00440,Farhan Sarkar,Maharashtra,Surendranagar Dudhrej,3,462755.66,154251.89,2023-09-22,2024-11-15,Gold
C00336,Jairaj Natt,Delhi,Bhopal,6,462699.76,77116.63,2022-05-23,2024-06-15,Gold
C01698,Timothy Tata,Karnataka,Saharsa,8,461795.09,57724.39,2022-07-27,2024-12-06,Gold
C01053,Bina Ray,Haryana,Aurangabad,3,460575.27,153525.09,2022-08-27,2023-12-26,Gold
C01990,Vihaan Bandi,Madhya Pradesh,Satara,2,459807.03,229903.51,2022-12-24,2024-06-08,Gold
C01319,Diya Varughese,Kerala,Korba,3,459283.64,153094.55,2024-10-06,2024-12-10,Gold
C00890,Darpan Parsa,West Bengal,Guna,7,456510.96,65215.85,2022-04-07,2024-12-27,Gold
C01493,Ayushman Vora,Odisha,Vijayanagaram,5,456422.93,91284.59,2022-12-13,2024-10-31,Gold
C01363,Neel Morar,Bihar,Mangalore,8,456255.75,57031.97,2022-06-13,2024-11-03,Gold
C01800,Indira Ratti,Bihar,Karnal,4,454874.16,113718.54,2022-01-24,2024-04-30,Gold
C01797,Arjun Uppal,Pune,Rourkela,5,454792.42,90958.48,2022-02-20,2024-01-19,Gold
C01552,Mitesh Madan,West Bengal,Bhilwara,5,453333.81,90666.76,2022-01-14,2023-11-13,Gold
C00938,Azad Rama,Karnataka,Kadapa,5,452135.76,90427.15,2022-05-22,2024-04-18,Gold
C00943,Balendra Rastogi,Telangana,Bahraich,3,450101.95,150033.98,2022-01-31,2024-04-10,Gold
C00010,Ishita Zacharia,Pune,Srinagar,2,449883.63,224941.82,2022-12-02,2022-12-13,Gold
C01032,Ekantika Master,Maharashtra,Vijayanagaram,4,448099.0,112024.75,2022-07-08,2024-06-16,Gold
C01743,Andrew Varghese,West Bengal,Bhatpara,5,448024.67,89604.93,2022-04-02,2023-12-09,Gold
C00472,Dhriti Srivastava,Odisha,Katni,3,447897.93,149299.31,2022-10-10,2023-10-23,Gold
C01642,Yahvi Johal,Karnataka,Nagercoil,7,446822.96,63831.85,2022-04-10,2024-05-22,Gold
C01630,Bimala Singhal,Gujarat,Burhanpur,7,446211.63,63744.52,2022-04-17,2024-07-27,Gold
C00060,Prisha Kashyap,West Bengal,Maheshtala,2,445695.39,222847.7,2022-02-17,2022-05-31,Gold
C01244,Anya Rege,Tamil Nadu,Phusro,10,444333.14,44433.31,2022-02-07,2024-08-15,Gold
C01598,Jagat Khare,Uttar Pradesh,Vijayanagaram,4,442384.0,110596.0,2022-03-19,2024-06-16,Gold
C01512,Aahana Raman,Gujarat,Ongole,3,441450.53,147150.18,2022-09-18,2023-12-12,Gold
C00586,Jatin Vora,Maharashtra,Firozabad,3,440664.12,146888.04,2023-06-03,2024-11-09,Gold
C01668,Advay Goswami,Karnataka,Barasat,5,439938.25,87987.65,2022-09-03,2024-04-24,Gold
C01932,Mugdha Jaggi,Delhi,Jorhat,5,438175.79,87635.16,2023-11-16,2024-09-05,Gold
C00002,Sai Dasgupta,Tamil Nadu,Kozhikode,7,437810.16,62544.31,2022-03-01,2024-12-02,Gold
C01124,Gautami Dave,West Bengal,Ulhasnagar,4,436822.48,109205.62,2022-09-12,2024-09-08,Gold
C00203,Yachana Vig,Rajasthan,Jaunpur,4,435766.18,108941.54,2022-04-28,2024-12-05,Gold
C01583,Krishna Dani,Kerala,Sonipat,3,435674.5,145224.83,2023-03-07,2024-05-27,Gold
C01557,Odika Tiwari,Rajasthan,Bikaner,4,434195.67,108548.92,2022-04-21,2024-06-06,Gold
C00869,Yadavi Bains,Telangana,Thiruvananthapuram,3,434075.39,144691.8,2023-03-12,2024-11-28,Gold
C01661,Niharika Walla,Odisha,Satara,4,433751.77,108437.94,2022-01-21,2024-12-05,Gold
C01102,Divya Goda,Uttar Pradesh,Sagar,5,433432.5,86686.5,2022-03-05,2024-10-19,Gold
C00925,Jagvi Pall,Haryana,Alappuzha,4,431773.54,107943.39,2023-06-10,2024-08-12,Gold
C01755,Christopher Hora,Pune,Fatehpur,1,430982.57,430982.57,2022-08-18,2022-08-18,Gold
C00448,Niharika Sarraf,Gujarat,South Dumdum,3,429369.59,143123.2,2023-11-01,2023-12-26,Gold
C00847,Gaurika Chandran,Bihar,Mira-Bhayandar,4,428754.68,107188.67,2022-01-06,2023-02-18,Gold
C01314,Owen Sule,Uttar Pradesh,Giridih,3,427132.33,142377.44,2022-08-28,2024-03-08,Gold
C00193,Azad Raval,Karnataka,Ghaziabad,4,424717.27,106179.32,2022-02-21,2024-11-21,Gold
C01779,Siya Swaminathan,Pune,Munger,4,424143.69,106035.92,2022-02-14,2024-01-24,Gold
C00087,Aditya Goda,Uttar Pradesh,Bhimavaram,4,422860.58,105715.15,2022-08-16,2024-08-08,Gold
C00125,Inaya Kaur,Kerala,Thanjavur,5,422010.24,84402.05,2022-07-27,2024-08-15,Gold
C00982,Wyatt Grover,Maharashtra,Baranagar,3,421698.97,140566.32,2022-03-27,2023-07-16,Gold
C00739,Mohammed Kala,Maharashtra,Ajmer,4,421389.11,105347.28,2022-05-13,2024-12-29,Gold
C00812,Jeremiah Pathak,Madhya Pradesh,Bikaner,3,420548.53,140182.84,2022-11-29,2023-10-02,Gold
C01982,Wishi Joshi,Madhya Pradesh,Karnal,3,420419.62,140139.87,2022-12-25,2024-12-08,Gold
C01409,Maanav Grewal,Karnataka,Bhiwandi,3,419415.59,139805.2,2022-07-18,2024-08-24,Gold
C00866,Gauri Kalla,Uttar Pradesh,Phagwara,4,418690.02,104672.5,2022-08-15,2024-12-11,Gold
C01794,Tripti Hora,Pune,Avadi,4,418193.35,104548.34,2022-07-23,2024-10-03,Gold
C00992,Ekansh Rajan,Telangana,Rajahmundry,4,416476.88,104119.22,2022-10-18,2024-01-22,Gold
C00065,Chameli Kaul,Kerala,Bally,3,415529.45,138509.82,2022-04-10,2023-10-18,Gold
C00993,Victor Madan,Pune,Serampore,5,415515.34,83103.07,2022-04-01,2023-08-09,Gold
C00912,Ishwar Sarna,Pune,Udaipur,4,414853.16,103713.29,2023-01-23,2024-08-01,Gold
C01634,Yashoda Tak,Maharashtra,Malda,4,414826.03,103706.51,2023-05-19,2023-09-26,Gold
C01582,Harita Sarraf,Pune,Meerut,4,414668.78,103667.19,2022-02-09,2023-10-11,Gold
C01822,Yug Sankaran,Uttar Pradesh,Hospet,5,414375.38,82875.08,2022-03-22,2024-03-26,Gold
C00310,Charita Date,Gujarat,Unnao,3,414312.97,138104.32,2022-06-23,2024-05-29,Gold
C01016,Aradhana Setty,Pune,Sonipat,4,414098.95,103524.74,2022-06-20,2024-12-12,Gold
C01033,George Tella,Odisha,Chandrapur,5,408242.45,81648.49,2022-08-05,2024-08-22,Gold
C01137,Nihal Kapoor,Odisha,Thanjavur,3,407804.48,135934.83,2022-01-03,2024-09-09,Gold
C00380,Azaan Narayanan,Gujarat,Tumkur,3,406103.89,135367.96,2022-01-26,2023-09-05,Gold
C01413,Shravya Bhakta,Pune,Guwahati,4,406069.3,101517.32,2022-08-04,2024-03-10,Gold
C00091,Chaitaly Devan,Gujarat,Malda,2,406051.06,203025.53,2023-11-10,2024-01-21,Gold
C00823,Bhavika Mohanty,Rajasthan,Kolkata,2,405968.78,202984.39,2022-05-23,2023-12-17,Gold
C01858,Yashvi Bansal,Madhya Pradesh,Surat,5,405103.52,81020.7,2022-04-24,2023-12-08,Gold
C01272,Om Wadhwa,Maharashtra,Uluberia,4,404568.78,101142.2,2022-03-04,2024-09-17,Gold
C01538,Farhan Bora,Telangana,Hubli–Dharwad,4,401383.1,100345.78,2023-02-25,2024-08-09,Gold
C00811,Tanvi Lad,Telangana,Proddatur,2,401335.62,200667.81,2022-10-17,2023-01-25,Gold
C01921,Rajeshri Desai,Bihar,Ahmednagar,3,400099.76,133366.59,2022-10-18,2024-12-26,Gold
C00322,Atharv Chada,Haryana,Madurai,4,400013.47,100003.37,2022-10-25,2024-08-16,Gold
C01859,Nandini Sanghvi,Haryana,Bareilly,2,398521.98,199260.99,2022-11-05,2023-07-21,Gold
C00187,Zashil Iyengar,Odisha,Mathura,4,398377.85,99594.46,2022-09-14,2023-08-14,Gold
C01042,Azaan Rajagopal,Karnataka,Amravati,3,398155.02,132718.34,2024-01-18,2024-08-26,Gold
C00350,Rachita Naik,Kerala,Bhusawal,4,396377.16,99094.29,2022-06-16,2024-03-04,Gold
C01959,Hemang Sawhney,Rajasthan,Bhilai,4,396236.18,99059.04,2022-03-07,2023-05-11,Gold
C00595,Manan Chada,Uttar Pradesh,Indore,2,394988.33,197494.16,2022-02-07,2023-05-14,Gold
C00868,Aradhana Oak,Gujarat,Hindupur,3,394516.87,131505.62,2022-03-29,2023-08-30,Gold
C00349,Nidhi Samra,Rajasthan,Tumkur,4,393790.38,98447.6,2022-03-06,2024-09-11,Gold
C00395,Sudiksha Doctor,Karnataka,Cuttack,6,393704.49,65617.41,2022-05-28,2023-09-01,Gold
C00509,Hemani Nagi,Tamil Nadu,Mysore,4,392575.49,98143.87,2022-05-24,2024-07-27,Gold
C01897,Gautam Dhawan,Telangana,Sonipat,3,392248.67,130749.56,2022-01-17,2022-12-20,Gold
C01304,Odika Thaker,Bihar,Tumkur,6,392124.18,65354.03,2022-06-09,2024-05-13,Gold
C00948,Sanaya Kala,Uttar Pradesh,Muzaffarpur,5,391453.14,78290.63,2022-03-01,2024-03-05,Gold
C00441,Eesha Bahri,Maharashtra,Rohtak,6,390574.53,65095.75,2022-10-31,2024-09-27,Gold
C00148,Upkaar Sandhu,Haryana,Kumbakonam,2,390172.32,195086.16,2023-08-20,2024-01-16,Gold
C01398,Rishi Subramanian,Rajasthan,Warangal,4,389889.48,97472.37,2022-03-02,2024-03-06,Gold
C01044,Qabil Ranganathan,Gujarat,Raiganj,4,388944.67,97236.17,2022-08-16,2023-05-18,Gold
